SMILES_1,SMILES_2,Temperatures (K)
CCCCCC,CC[C@H](C)O,"[333.124, 340.1829, 340.4829, 340.5328, 340.61, 340.67, 340.89, 340.9, 340.9327, 341.3826, 341.41, 341.6325, 342.31, 342.3323, 343.182, 343.77, 344.0818, 344.9815, 345.5313, 345.61, 346.3311, 347.6807, 348.15, 349.32, 351.8794, 353.09, 354.8785, 357.8776, 358.8, 360.7269, 363.05, 364.1762, 366.0758, 367.6255, 367.75, 369.85, 371.11]"
CCCCCC,CCCCCO,"[322.11, 322.98, 328.7, 333.67, 339.7, 340.59, 341.28, 342.09, 343.51, 345.87, 347.67, 349.53, 349.83, 350.75, 355.67, 358.07, 358.38, 362.0, 362.47, 365.38, 365.53, 368.53, 371.57, 372.08, 373.26, 378.0, 384.27, 389.23, 393.6, 397.72, 401.41, 404.32, 405.82]"
CCCCCC,C1COCCO1,"[308.15, 341.924, 342.024, 342.724, 343.9239, 344.8238, 347.4236, 348.4235, 349.6234, 352.3231, 353.123, 358.023]"
CCCCCC,ClC(Cl)(Cl)Cl,"[341.9324, 342.0324, 342.1324, 342.3323, 342.5322, 342.7322, 343.0321, 343.432, 343.8318, 344.2317, 344.7316, 345.3314, 346.0312, 346.731, 347.5307, 348.5304, 349.5301]"
CCCCCC,ClCCCl,[323.15]
CCCCCC,CCN(CC)CC,[333.124]
CCCCCC,CCCCN,"[333.124, 340.49, 340.52, 340.72, 340.81, 341.13, 341.5, 341.65, 342.43, 343.42, 344.67, 345.81, 347.33, 348.67]"
CCCCCC,CC[N+](=O)[O-],"[298.136, 318.1285]"
CCCC(C)C,CCCCCCC,"[318.15, 328.15]"
CCCC(C)C,CCCCCCCC,"[293.1454, 303.1431, 313.1401, 328.15]"
CCCC(C)C,CC[N+](=O)[O-],[298.136]
CC(C)C(C)C,CO,"[313.15, 317.88, 317.9, 317.92, 317.93, 317.98, 317.99, 318.0, 318.01, 318.02, 318.03, 318.09, 318.17, 318.36, 318.72, 318.85, 319.25, 319.47, 320.18, 321.32, 322.97]"
CCCCCCC,CCCCCCCC,"[369.55, 370.65, 371.95, 373.35, 373.85, 374.95, 376.05, 379.65, 381.65, 382.25, 384.95, 386.35, 388.65, 389.65, 391.25, 393.05, 393.25, 393.65, 394.05, 394.45]"
CCCCCCC,CCc1ccccc1,"[316.0291, 316.7789, 317.9286, 318.9283, 320.4778, 324.1267, 326.326, 328.3254, 330.4248, 331.9244, 333.974, 335.674, 338.324, 340.424, 342.474, 343.374, 344.3239, 345.3738, 345.4738, 346.9236, 348.9734, 349.9233, 351.9231, 352.973, 353.273, 354.273, 355.623, 356.973, 358.423, 360.323, 363.8231, 365.9733, 367.4734, 370.3737, 371.1238, 371.9239, 372.674, 372.75, 373.124, 373.324, 374.1, 374.3242, 375.2244, 375.51, 376.1246, 376.59, 376.9748, 377.1748, 377.66, 378.225, 378.75, 379.3252, 380.3254, 380.98, 381.5257, 382.27, 382.6259, 383.8761, 384.9262, 385.1, 386.1, 386.1263, 387.6265, 388.0, 389.1266, 389.34, 389.8267, 391.0268, 392.2, 392.777, 394.2773, 394.65, 396.0279, 396.1, 397.35, 397.4783, 399.3789, 399.66, 400.8293, 402.6299, 402.97, 404.68, 405.3304, 407.1308, 408.081, 408.1]"
CCCCCCC,CCC(=O)CC,"[338.1334, 353.1291, 368.1254]"
CCCCCCC,CCCCO,"[323.127, 333.1344, 348.1306, 349.0, 349.05, 349.1, 349.15, 349.25, 349.35, 349.55, 349.85, 349.95, 350.3, 350.5, 350.75, 351.15, 352.35, 353.65, 356.1, 358.8, 360.95, 361.923, 362.123, 362.423, 362.623, 363.05, 363.1264, 363.15, 363.25, 363.3, 363.323, 363.5, 363.65, 363.9, 364.05, 364.15, 364.55, 365.3232, 365.35, 365.7, 365.75, 366.5233, 366.65, 367.0234, 367.0734, 367.3234, 367.4234, 367.4734, 367.5234, 367.5734, 367.75, 367.8235, 367.8735, 368.1235, 368.1735, 368.3235, 369.0, 369.85, 370.1237, 370.2237, 370.2737, 371.1238, 371.2, 371.3238, 371.9, 373.224, 373.25, 373.274, 373.4, 375.1244, 376.1, 376.9248, 379.65, 382.3258, 382.926, 382.976, 383.15, 385.55, 386.85, 387.9265, 388.1265, 388.4265, 388.5265, 389.7267, 390.3267, 391.4268, 397.5283, 401.6296, 403.03, 403.5301, 404.0302, 404.7303, 405.5305, 405.6305, 409.2312, 415.1324, 419.4333]"
CCCCCCC,CC(C)CO,"[298.1444, 333.1344, 338.1334, 363.9262, 364.0262, 364.1262, 364.2761, 364.5761, 364.6061, 364.6261, 364.976, 365.036, 365.066, 365.176, 365.3259, 365.3459, 365.4259, 365.5159, 365.7259, 365.8258, 365.9258, 366.0858, 366.1858, 366.4957, 366.6257, 366.8056, 366.9256, 367.3255, 368.5553, 368.5853, 369.1252, 369.4551, 369.955, 370.195, 370.3949, 373.1244, 373.7342, 375.2739, 377.7235, 377.9834]"
CCCCCCC,CC[C@H](C)O,"[338.1334, 341.67, 341.74, 341.75, 341.82, 341.87, 341.91, 342.04, 342.2, 342.28, 342.54, 342.62, 343.02, 343.57, 344.19, 344.33, 345.36, 347.05, 348.1306, 349.08, 351.68, 352.74, 352.77, 352.79, 352.8, 352.81, 352.88, 353.02, 353.1, 353.19, 353.51, 353.73, 354.16, 354.29, 354.98, 356.05, 356.22, 357.62, 359.22, 359.25, 359.27, 359.29, 359.3, 359.45, 359.52, 359.53, 359.61, 359.71, 359.89, 360.19, 360.49, 361.22, 361.223, 361.323, 361.37, 361.623, 361.823, 361.92, 361.9266, 362.1266, 362.33, 362.4465, 362.623, 362.923, 363.0264, 363.55, 363.7462, 363.88, 363.9231, 364.0862, 364.876, 365.59, 365.7558, 366.2233, 367.3234, 367.76, 367.7954, 368.2154, 368.8236, 368.9236, 369.4251, 370.9248, 372.0446]"
CCCCCCC,CCCCCO,"[313.15, 348.1306, 351.15, 351.25, 351.35, 351.5, 351.7, 351.95, 352.15, 352.5, 352.75, 353.15, 354.3, 357.35, 358.1276, 361.8, 367.75, 367.85, 367.95, 368.1, 368.1254, 368.2, 368.3, 368.55, 368.9, 369.45, 370.25, 371.45, 373.85, 374.15, 378.25, 379.0, 383.4, 384.15, 388.25, 389.25, 390.35, 391.65, 393.8, 398.25, 403.45, 405.4, 406.85]"
CCCCCCC,CCCC(=O)OCC,"[371.4, 371.62, 371.75, 371.85, 371.99, 372.12, 372.27, 372.42, 372.61, 372.8, 373.05, 373.1244, 373.3, 373.6, 373.88, 374.17, 374.55, 374.96, 375.23, 375.54, 375.9, 376.24, 376.42, 376.79, 377.18, 377.7, 378.1, 379.04, 379.62, 381.9, 382.86, 385.01, 386.16, 387.93, 388.85, 389.66, 390.45, 391.15, 391.9, 392.52, 393.2]"
CCCCCCC,C1COCCO1,[353.123]
CCCCCCC,CCCC#N,[318.15]
CCCCCCC,c1ccncc1,"[313.15, 340.924, 353.123, 366.3533, 366.3633, 366.4133, 366.4233, 366.5833, 366.6234, 367.0234, 367.3534, 368.1235, 368.3735, 369.8837, 372.734, 375.7645, 378.3751]"
